mean,std,min,max,hr_mean,hr_std,rmssd,nn50,pnn50,segment_id
58.57600392679118,0.6313752891264712,57.933709573015214,60.01046594190953,,,,,,1
62.47432299644746,0.859142853253286,60.75544657593272,63.434317652180574,,,,,,2
53.38374126042261,4.9937088369172,45.27578478713502,60.668251875124476,,,,,,3
34.141868432940555,6.228163139028509,23.78565607097792,43.39921542598409,,,,,,4
7.649852575428635,8.63640146386933,-5.75923327584249,21.05481542642111,,,,,,5
-18.37151860605517,5.793369552825567,-26.636779234914126,-8.482262378463995,,,,,,6
-33.94881352543156,3.6612248829387775,-39.58498487509779,-28.081573716396314,,,,,,7
-44.90651765582082,2.324826449194789,-47.941612026618905,-40.764069170199576,,,,,,8
-52.11531372306117,3.3017460709982784,-58.55492053379535,-48.340287180502415,,,,,,9
-63.97388630293326,2.9722991594635015,-67.29312357247619,-57.83979920953606,,,,,,10
-38.80775515649643,7.49447654474002,-53.143017795062384,-30.013782967504877,,,,,,11
-124.44082268828689,43.01093582374062,-181.3653422328523,-55.29632179418657,,,,,,12
-144.31289444600398,31.129478303538754,-183.0545868954219,-92.78465066502955,,,,,,13
-68.41552138573937,6.253556699368833,-83.54228161834168,-63.80847431386033,,,,,,14
-53.33236624227693,10.038082970005528,-65.19087335175321,-35.69618975019903,,,,,,15
-35.771163326278476,9.605062475613728,-57.103026311047316,-27.216592122048453,,,,,,16
-114.74910695640862,29.976240362692593,-158.65499726537163,-66.73830771345561,,,,,,17
-179.62857941989495,6.422731906585398,-185.0281008905436,-165.4613675107365,,,,,,18
-178.07437059001677,3.283813421836438,-183.33798277806204,-173.34214442830316,,,,,,19
-171.3215736433461,0.5827936960846002,-172.651323199335,-170.81623637061662,,,,,,20
-172.3107316530681,0.548390356847329,-172.89473538040113,-171.31805612794648,,,,,,21
-170.11080537566173,2.042205449243138,-172.65973160484975,-166.4286244708706,,,,,,22
-160.49589239850667,3.078237444872,-165.36707562783076,-155.75565333820728,,,,,,23
-150.0107059476578,3.1725386852830284,-154.75514510631737,-144.70484338403003,,,,,,24
-134.91177394740984,5.509547913440549,-143.21374123112264,-126.30453879156939,,,,,,25
-123.07602384042237,0.9195358296073681,-124.77254943440771,-121.93673664811081,,,,,,26
-110.04403478423134,13.451674234920592,-124.231747983807,-84.06848864059994,,,,,,27
-66.76330145941579,9.903780125681058,-87.73435382396606,-55.892499399260764,,,,,,28
-147.74259179566354,22.67090257682454,-169.59875929478594,-101.55406838845572,,,,,,29
-81.42109942477182,41.855286231965536,-147.985163593896,-21.885080376260287,,,,,,30
0.5177859457206896,7.604450090647292,-14.400499863895263,11.727480759334775,,,,,,31
41.68256362353772,17.41867708568627,15.595523401109444,68.04858330925211,,,,,,32
63.16206357314742,12.289399388791548,37.59672583361592,74.5110727725419,,,,,,33
-11.345018867897611,23.071336485646107,-42.32719264448069,28.118732828350065,,,,,,34
-46.365337801136505,2.9295037344188435,-49.5125395369875,-40.22647671253098,,,,,,35
-27.855215157214918,5.840302615758297,-37.76681688270269,-19.7115037856547,,,,,,36
-15.654761279520624,1.4558009820101354,-18.544361780209698,-13.97526795115517,,,,,,37
-12.507440369544161,0.9837825738064812,-13.79066802387859,-10.734456511006874,,,,,,38
-7.505796336713753,1.8193969905760377,-10.207471856927226,-4.4593494273367575,,,,,,39
